id,categorie,nom_commercial,nom_variantes,dci,dosage,forme,laboratoire,nom_ar,nom_clean,prix,pharmacien_id,61266250,"a 313 200 000 ui pour cent, pommade",pommade,cutanée,autorisation active,procédure nationale,commercialisée,12/03/1998,unnamed: 8,unnamed: 9,pharma developpement,non,product_en_url,product_ar_url,product_thumbnail,nahdi_promo_en,nahdi_promo_ar,brand_name_en,brand_name_ar,product_name_en,product_name_ar,review_count,price_after_special,price_before_special,is_global_product_certain,is_nahdi_product
26.0,Digestion et Probiotiques,Spasfon,Spasfon|SPASFON|سباسفون|سبسفون,Phloroglucinol,80mg,Comprimé,Teva,سباسفون,SPASFON,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,Digestion et Probiotiques,AdiaFlor,AdiaFlor|ADIAFLOR|أدياقلور|دياقلور,Probiotiques,,Complément alimentaire,Ipsen,أدياقلور,ADIAFLOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,Digestion et Probiotiques,Algantil,Algantil|ALGANTIL|ألجانتيل|الجانتيل,Hydroxyde d'aluminium + Hydroxyde de magnésium,,Suspension buvable,Maphar,ألجانتيل,ALGANTIL,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,Vitamines et Compléments,D-Cure,D-Cure|D-CURE|DCURE|دي-كيور,Vitamine D3,25000 UI,Ampoule buvable,Goodlife Pharma,دي-كيور,D-CURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,Vitamines et Compléments,Immunea,Immunea|IMMUNEA,Immunité,,Complément alimentaire,,إيمونيا,IMMUNEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,Vitamines et Compléments,Tanakan 40mg,Tanakan|TANAKAN,Ginkgo biloba,40mg,Comprimé,Ipsen,تاناكان,TANAKAN 40MG,71.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,Vitamines et Compléments,Zinc,Zinc|ZINC,Sulfate de zinc,,Comprimé,,زنك,ZINC,84.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,Autres,Apiretil,Apiretil|APIRETIL|أبيريتيل,Paracétamol,,Suppositoire,Maphar,أبيريتيل,APIRETIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,Autres,Febrex,FEBREX|Febrex,Paracétamol + Ibuprofène,,Suspension buvable,,فيبريكس,FEBREX,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,Autres,Albendazole,Albendazole|ALBENDAZOLE,Albendazole,400mg,Comprimé,GSK Maroc,ألبيندازول,ALBENDAZOLE,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,Autres,Ibuprofène,Ibuprofene|Ibuprofène|IBUPROFENE,Ibuprofène,200mg,Comprimé,Maphar,إيبوبروفين,IBUPROFÈNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,Autres,Zyrtec,Zyriec|Zyrtec|ZYRTEC,Cétirizine,10mg,Comprimé,UCB Pharma,زيرتيك,ZYRTEC,63.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
